Supplier Name
YAZAKI HAIPHONG VIETNAM LTD
VIETNAM MOTORS INDUSTRY CORPORATION - JOINT STOCK COMPANY
VIETNAM TOYO DENSO COMPANY LIMITED
"TOYODA GOSEI HAIPHONG CO., LTD"
"HAMADEN VIETNAM CO., LTD"
NISSIN BRAKE VIETNAM COMPANY LIMITED
ACTION COMPOSITES HIGHTECH INDUSTRIES COMPANY LIMITED
GOLDEN STAR RUBBER JOINT STOCK COMPANY
MINH HOA INVESTMENT JOINT STOCK COMPANY
SONGCONG DIESEL LIMITED COMPANY
"KOLON INDUSTRIES VIETNAM CO.,LTD"
TAN THANH TRADING MECHANIC CORPORATION
LEGROUP MANUFACTURING & TRADING JOINT STOCK COMPANY
"CASTEC VINA CO., LTD"
"SJF VINA CO.,LTD"
VMEP COMPANY - MOTORCYCLE INSTALLATION AND PARTS PRODUCTION FACTORY
ZF AUTOMOTIVE VIETNAM COMPANY LIMITED
ENKEI VIETNAM COMPANY LIMITED
"TT ELECTRONICS CO., LTD"
"MTEX (VIET NAM) CO.,LTD"
"ELMA VIETNAM INDUSTRY CO., LTD"
DONGJIN VIETNAM JOINT STOCK COMPANY
"SHIH LIN ELECTRICAL ENGINEERING CO., LTD"
KONDO VIETNAM COMPANY LIMITED
ENI-FLORENCE VIETNAM COMPANY LIMITED
TOAN LUC JOINT STOCK COMPANY
TAIJAAN PLASTIC (VIETNAM) COMPANY LIMITED
LEAR CORPORATION (VIETNAM) COMPANY LIMITED
INNOTEK JOINT STOCK COMPANY
LAM SON COMPANY LIMITED
CAP GLOBAL COMPANY LIMITED
KHANG MINH COMPANY LIMITED
"DOOSUNG VIETNAM MOTOR CO.,LTD"
CHIEN YOU VIETNAM JOINT STOCK COMPANY
ZONGSHEN VIET NAM ENGINE MANUFACTURING COMPANY LIMITED
"AIDO INDUSTRY VIETNAM CO., LTD"
VARROC LIGHTING SYSTEMS VIETNAM COMPANY LIMITED
"KYUNG JIN TEXTILE CO., LTD"
BACKER HEATING TECHNOLOGIES VIETNAM COMPANY LIMITED
"ISHISEI VIETNAM CO., LTD"
"AKEBONO BRAKE ASTRA VIETNAM CO., LTD"
HOA BINH CORPORATION
TRAN THANH MECHANICAL PRIVATE ENTERPRISE
SAI GON CHAN PHAT JOINT STOCK COMPANY - BINH DUONG BRANCH
TAN THANH TRADING MECHANIC CORPORATION - STATION 3
TAN THANH TRADING MECHANIC CORPORATION - REPRESENTATIVE OFFICE
SEABIRD SPARE PART COMPANY LIMITED
VIET HUNG MARITIME SERVICE JOINT STOCK COMPANY
APM AUTO COMPONENTS (VIETNAM) COMPANY LIMITED
SMART VIET NAM PRECISION MECHANICAL JOINT STOCK COMPANY
DENSO (THAILAND) COMPANY LIMITED
THAI BRIDGESTONE COMPANY LIMITED
AUTOLIV (THAILAND) LIMITED
DAISIN COMPANY LIMITED
P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY LIMITED
CALSONIC KANSEI (THAILAND) COMPANY LIMITED - VIA LOGISTICS
USUI INTERNATIONAL CORPORATION (THAILAND) LIMITED
THAI KOITO COMPANY LIMITED
SOMBOON ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED
SIAM AISIN COMPANY LIMITED
THAI TOYO DENSO COMPANY LIMITED
SAMMITR MOTORS MANUFACTURING PUBLIC COMPANY LIMITED
AAPICO HITECH PUBLIC COMPANY LIMITED
THAI NIPPON SEIKI COMPANY LIMITED
VALEO COMFORT AND DRIVING ASSISTANCE SYSTEMS (THAILAND) COMPANY LIMITED
ADIENT & SUMMIT CORPORATION LIMITED
MUSASHI AUTO PARTS COMPANY LIMITED
SIAM GOSHI MANUFACTURING COMPANY LIMITED
EXEDY (THAILAND) COMPANY LIMITED
TOYODA GOSEI (THAILAND) COMPANY LIMITED
YARNAPUND PUBLIC COMPANY LIMITED
C.B.TACT (THAILAND) COMPANY LIMITED
NISSIN BRAKE (THAILAND) COMPANY LIMITED
CH. AUTO INDUSTRY COMPANY LIMITED
INTERHIDES PUBLIC COMPANY LIMITED
THAI CHANATHORN INDUSTRY COMPANY LIMITED
ROBERT BOSCH AUTOMOTIVE TECHNOLOGIES (THAILAND) COMPANY LIMITED
TECHNO METAL (THAILAND) COMPANY LIMITED
AUTO INTERIOR PRODUCTS COMPANY LIMITED
SOMBOON MALLEABLE IRON INDUSTRIAL COMPANY LIMITED
TKD FIBER COMPANY LIMITED
F-TECH MFG. (THAILAND) LIMITED
THAI SUMMIT EASTERN SEABOARD AUTOPARTS INDUSTRY COMPANY LIMITED
PRESIDENT AUTOMOBILE INDUSTRIES COMPANY LIMITED
NEW SOMTHAI MOTOR WORK COMPANY LIMITED
THE SIAM NAWALOHA FOUNDRY COMPANY LIMITED
SIAM FURUKAWA COMPANY LIMITED
SIAM NDK COMPANY LIMITED
THAMARUK AUTO PARTS COMPANY LIMITED
ABLE SANOH INDUSTRIES (1996) COMPANY LIMITED
TOYOTA BOSHOKU FILTRATION SYSTEM (THAILAND) COMPANY LIMITED
